Model,Accuracy,Features
AdaBoost,0.8295964125560538,"Pclass, Sex, Age, SibSp, Parch"
AdaBoost,0.8295964125560538,"Pclass, Sex, Age, SibSp, Embarked"
AdaBoost,0.8251121076233184,"Pclass, Sex, Age, SibSp"
AdaBoost,0.8161434977578476,"Pclass, Sex, Age, Parch"
AdaBoost,0.8161434977578476,"Pclass, Sex, Age, SibSp, Parch, Embarked"
AdaBoost,0.8161434977578476,"Pclass, Sex, Age, Parch, Fare, Embarked"
AdaBoost,0.8116591928251121,"Pclass, Sex, Age"
AdaBoost,0.8116591928251121,"Pclass, Sex, Age, Embarked"
AdaBoost,0.8116591928251121,"Pclass, Sex, SibSp, Parch"
AdaBoost,0.8116591928251121,"Sex, Age, SibSp, Parch"
AdaBoost,0.8116591928251121,"Sex, Age, SibSp, Fare"
AdaBoost,0.8116591928251121,"Pclass, Sex, Age, Parch, Embarked"
AdaBoost,0.8116591928251121,"Pclass, Sex, Age, SibSp, Parch, Fare"
AdaBoost,0.8071748878923767,"Sex, SibSp"
AdaBoost,0.8071748878923767,"Sex, Parch"
AdaBoost,0.8071748878923767,"Pclass, Sex, SibSp"
AdaBoost,0.8071748878923767,"Pclass, Sex, Parch"
AdaBoost,0.8071748878923767,"Sex, Age, SibSp"
AdaBoost,0.8071748878923767,"Sex, Age, Parch"
AdaBoost,0.8071748878923767,"Sex, SibSp, Parch"
AdaBoost,0.8071748878923767,"Sex, SibSp, Embarked"
AdaBoost,0.8071748878923767,"Sex, Parch, Fare"
AdaBoost,0.8071748878923767,"Sex, Parch, Embarked"
AdaBoost,0.8071748878923767,"Sex, Age, SibSp, Embarked"
AdaBoost,0.8071748878923767,"Sex, Age, Parch, Fare"
AdaBoost,0.8071748878923767,"Sex, Age, Parch, Embarked"
AdaBoost,0.8071748878923767,"Sex, SibSp, Parch, Embarked"
AdaBoost,0.8071748878923767,"Pclass, Sex, Age, SibSp, Fare"
AdaBoost,0.8071748878923767,"Pclass, Sex, Age, Parch, Fare"
AdaBoost,0.8071748878923767,"Sex, Age, SibSp, Parch, Embarked"
AdaBoost,0.8026905829596412,Sex
AdaBoost,0.8026905829596412,"Pclass, Sex"
AdaBoost,0.8026905829596412,"Sex, Age"
AdaBoost,0.8026905829596412,"Sex, Fare"
AdaBoost,0.8026905829596412,"Sex, Embarked"
AdaBoost,0.8026905829596412,"Sex, Age, Fare"
AdaBoost,0.8026905829596412,"Sex, Age, Embarked"
AdaBoost,0.8026905829596412,"Pclass, Sex, SibSp, Embarked"
AdaBoost,0.8026905829596412,"Pclass, Sex, Parch, Embarked"
AdaBoost,0.8026905829596412,"Sex, SibSp, Parch, Fare"
AdaBoost,0.8026905829596412,"Pclass, Sex, SibSp, Parch, Embarked"
AdaBoost,0.8026905829596412,"Sex, Age, SibSp, Fare, Embarked"
AdaBoost,0.8026905829596412,"Sex, Age, SibSp, Parch, Fare, Embarked"
AdaBoost,0.7982062780269058,"Pclass, Sex, Embarked"
AdaBoost,0.7982062780269058,"Sex, SibSp, Fare, Embarked"
AdaBoost,0.7982062780269058,"Pclass, Sex, SibSp, Fare, Embarked"
AdaBoost,0.7982062780269058,"Pclass, Sex, Parch, Fare, Embarked"
AdaBoost,0.7982062780269058,"Pclass, Sex, SibSp, Parch, Fare, Embarked"
AdaBoost,0.7937219730941704,"Sex, Fare, Embarked"
AdaBoost,0.7937219730941704,"Sex, Age, Fare, Embarked"
AdaBoost,0.7937219730941704,"Sex, Parch, Fare, Embarked"
AdaBoost,0.7937219730941704,"Sex, Age, Parch, Fare, Embarked"
AdaBoost,0.7937219730941704,"Pclass, Sex, Age, SibSp, Parch, Fare, Embarked"
AdaBoost,0.7892376681614349,"Pclass, Sex, Age, Fare"
AdaBoost,0.7892376681614349,"Pclass, Sex, Age, SibSp, Fare, Embarked"
AdaBoost,0.7847533632286996,"Pclass, Sex, Fare, Embarked"
AdaBoost,0.7847533632286996,"Pclass, Sex, Age, Fare, Embarked"
AdaBoost,0.7802690582959642,"Sex, Age, SibSp, Parch, Fare"
AdaBoost,0.7757847533632287,"Pclass, Age, Parch, Embarked"
AdaBoost,0.7713004484304933,"Pclass, Sex, SibSp, Parch, Fare"
AdaBoost,0.7668161434977578,"Sex, SibSp, Fare"
AdaBoost,0.7668161434977578,"Pclass, Sex, SibSp, Fare"
AdaBoost,0.7668161434977578,"Pclass, Sex, Parch, Fare"
AdaBoost,0.7623318385650224,"Pclass, Parch"
AdaBoost,0.7623318385650224,"Pclass, Sex, Fare"
AdaBoost,0.7623318385650224,"Pclass, Parch, Embarked"
AdaBoost,0.7623318385650224,"Sex, SibSp, Parch, Fare, Embarked"
AdaBoost,0.757847533632287,"Pclass, SibSp, Parch, Embarked"
